2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35340 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35340@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35356 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35356@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35360 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35360@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35362 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35362@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35368 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35368@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35372 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35372@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35376 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35376@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35316 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35316@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35382 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35382@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35386 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35386@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35388 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35388@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35394 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35394@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35402 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35402@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35406 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35406@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35412 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35412@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35416 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35416@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35420 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35420@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35424 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35424@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35430 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35430@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35434 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35434@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35440 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35440@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35446 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35446@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35448 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35448@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35454 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35454@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35460 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35460@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35464 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35464@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35470 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35470@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35474 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35474@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35476 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35476@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35480 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35480@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35486 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35486@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35490 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35490@61616
