Name,Status,Protocol,Vendor,Device Type,Supported products,Installed version,Available version,Nodes in use,Fault license,Performance license,Last modified
"cisco-2432","Available","Snmp","Cisco Systems, Inc","Gateway","Cisco 2432 Integrated Access Device","","6.0.10","0","","",""
"cisco-2500","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2500 Router","","6.0.10","0","","",""
"cisco-2511","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2511 Router/Access Server","","6.0.10","0","","",""
"cisco-2600","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2600 Router","","6.0.10","0","","",""
"cisco-2610","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2610 Router","","6.0.10","0","","",""
"cisco-2611","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2611 Router","","6.0.10","0","","",""
"cisco-2611xm","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2611XM Router","","6.0.10","0","","",""
"cisco-2620","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2620 Router","","6.0.10","0","","",""
"cisco-2621","Available","Snmp","Cisco Systems, Inc","Router","Cisco Modular Access Routers","","6.0.10","0","","",""
"cisco-2621xm","Available","Snmp","Cisco Systems, Inc","Router","Cisco Modular Access Routers","","6.0.10","0","","",""
"cisco-2651","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2651 Router","","6.0.10","0","","",""
"cisco-2800","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2800 Integrated Service Router","","6.0.10","0","","",""
"cisco-2801","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2801 Integrated Service Router","","6.0.10","0","","",""
"cisco-2811","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2811 Integrated Service Router","","6.0.10","0","","",""
"cisco-2821","Available","Snmp","Cisco Systems, Inc","Router","Cisco 2821 Integrated Service Router","","6.0.10","0","","",""
"cisco-2900xl","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 2900xl","","6.0.10","0","","",""
"cisco-2912","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 2912 Switch","","6.0.10","0","","",""
"cisco-2924","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 2924 Switch","","6.0.10","0","","",""
"cisco-2926","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 2926","","6.0.10","0","","",""
"cisco-2950","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 2950 Switch","","6.0.10","0","","",""
"cisco-2960","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 2960 Switch","","6.0.10","0","","",""
"cisco-2960s","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 2960S Switch","","6.0.10","0","","",""
"cisco-2970","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 2970","","6.0.10","0","","",""
"cisco-3508","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 3508 Switch","","6.0.10","0","","",""
"cisco-3512","Available","Snmp","Cisco Systems, Inc","Switch","Cisco Catalyst 3512 XL Switch","","6.0.10","0","","",""
"cisco-3548","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 3548 Switch","","6.0.10","0","","",""
"cisco-3550","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 3550 Switch","","6.0.10","0","","",""
"cisco-3560","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 3560 Switch","","6.0.10","0","","",""
"cisco-3620","Available","Snmp","Cisco Systems, Inc","Router","Cisco 3600 Series Multifunction Platform","","6.0.10","0","","",""
